Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Merrily Altamirano,3/18/2013,3/18/2022,March,Friday,31
Bartholemy Rattrie,2/24/2013,2/24/2022,February,Thursday,12
Leroi Heikkinen,4/21/2012,4/21/2022,April,Thursday,11
Kamila Blakes,6/29/2014,6/29/2022,June,Wednesday,15
Vincent Seedull,1/12/2012,1/12/2022,January,Wednesday,14
Remy La Torre,4/23/2013,4/23/2022,April,Friday,55
Brig Lawty,3/28/2015,3/28/2022,March,Monday,8
Kassie Darben,2/10/2014,2/10/2022,February,Thursday,12
Barnie Drees,4/25/2013,4/25/2022,April,Monday,10
Leslie Pezey,8/2/2013,8/2/2022,August,Tuesday,15
Ted Gobel,5/29/2014,5/29/2022,May,Friday,31
Noach Pagen,11/11/2013,11/11/2022,November,Friday,39
Elita Taggert,11/8/2012,11/8/2022,November,Tuesday,12
Tony Roches,7/3/2013,7/3/2022,July,Friday,49
Phelia Wines,12/7/2011,12/7/2022,December,Wednesday,9
Kris Boarer,2/4/2013,2/4/2022,February,Friday,31
Courtnay Fearey,1/30/2012,1/30/2022,January,Friday,33
Bartie Pedrazzi,1/8/2014,1/8/2022,January,Friday,33
Pincas Sogg,8/19/2015,8/19/2022,August,Friday,24
Delainey Rand,3/10/2012,3/10/2022,March,Thursday,19
Alvy Fleis,10/28/2012,10/28/2022,October,Friday,32
Chrotoem Thominga,7/20/2014,7/20/2022,July,Wednesday,19
Ebeneser Gobel,5/10/2012,5/10/2022,May,Tuesday,15
Orelee Perillio,2/19/2014,2/19/2022,February,Friday,31
Carmelita Wiffen,9/11/2011,9/11/2022,September,Friday,36
Dion Grimestone,9/16/2011,9/16/2022,September,Friday,36
Terry Sloey,3/29/2013,3/29/2022,March,Tuesday,13
Reube Pallaske,8/4/2015,8/4/2022,August,Thursday,10
Ossie Woodard,1/12/2012,1/12/2022,January,Wednesday,14
Olly Navarijo,9/8/2012,9/8/2022,September,Thursday,14
Maybelle Shackesby,4/30/2015,4/30/2022,April,Friday,55
Seumas Plum,4/28/2013,4/28/2022,April,Thursday,11
Burl Glassborow,7/31/2015,7/31/2022,July,Friday,49
Farra Laidler,3/29/2015,3/29/2022,March,Tuesday,13
Olwen Callicott,2/1/2013,2/1/2022,February,Tuesday,13
Zoe Djorvic,4/4/2013,4/4/2022,April,Monday,10
Tonye Faudrie,4/1/2012,4/1/2022,April,Friday,55
Jody Alvin,5/15/2013,5/15/2022,May,Friday,31
Brandie Feuell,5/10/2015,5/10/2022,May,Tuesday,15
Mic Stonard,7/12/2013,7/12/2022,July,Tuesday,12
Jilli Kevane,11/11/2011,11/11/2022,November,Friday,39
Jessie Fforde,6/5/2014,6/5/2022,June,Friday,30
Eleonora Manntschke,12/12/2014,12/12/2022,December,Monday,20
Westley Bergin,12/30/2012,12/30/2022,December,Friday,45
Thelma Carabine,6/14/2014,6/14/2022,June,Tuesday,11
Nannie Ferebee,3/11/2015,3/11/2022,March,Friday,31
Sib Klink,12/7/2014,12/7/2022,December,Wednesday,9
Keely Skellion,7/24/2015,7/24/2022,July,Friday,49
Erinna Rosthorn,6/14/2013,6/14/2022,June,Tuesday,11
Elvin Lewinton,9/10/2013,9/10/2022,September,Friday,36
Rosana Zoellner,5/19/2014,5/19/2022,May,Thursday,12
Elaine Blackborough,7/31/2013,7/31/2022,July,Friday,49
Roddie Ovett,7/10/2013,7/10/2022,July,Friday,49
Ninnetta Galia,4/1/2013,4/1/2022,April,Friday,55
Casandra Norewood,11/24/2014,11/24/2022,November,Thursday,13
Pen Haney`,12/25/2011,12/25/2022,December,Friday,45
Brigg Mendel,2/20/2015,2/20/2022,February,Friday,31
Susana Cookney,3/17/2012,3/17/2022,March,Thursday,19
Codi Widger,7/4/2014,7/4/2022,July,Monday,11
Sonny Finlason,11/26/2014,11/26/2022,November,Friday,39
Felike Whardley,7/18/2014,7/18/2022,July,Monday,11
Aileen Overill,6/26/2012,6/26/2022,June,Friday,30
Rayna Hobble,1/2/2014,1/2/2022,January,Friday,33
Dela Corradeschi,10/4/2014,10/4/2022,October,Tuesday,9
Temple Arnald,11/15/2013,11/15/2022,November,Tuesday,12
Corey Garnsworthy,1/12/2012,1/12/2022,January,Wednesday,14
Lyssa Skotcher,3/3/2013,3/3/2022,March,Thursday,19
Farra Congreave,6/20/2014,6/20/2022,June,Monday,9
Chanda Hartle,8/23/2014,8/23/2022,August,Tuesday,15
Emmott Pressman,11/2/2012,11/2/2022,November,Wednesday,17
Alvera Roussel,5/22/2013,5/22/2022,May,Friday,31
Korney Pennington,8/24/2013,8/24/2022,August,Wednesday,10
Travus Rousby,9/20/2011,9/20/2022,September,Tuesday,12
Wakefield Pleaden,2/21/2014,2/21/2022,February,Monday,12
Amy Pirrie,11/6/2013,11/6/2022,November,Friday,39
Barn Poyntz,6/22/2015,6/22/2022,June,Wednesday,15
Heindrick Okie,5/6/2014,5/6/2022,May,Friday,31
Gan Thulborn,12/18/2011,12/18/2022,December,Friday,45
Delphinia Wallach,6/12/2015,6/12/2022,June,Friday,30
Harlin Hallad,11/28/2012,11/28/2022,November,Monday,11
Ida Side,4/22/2015,4/22/2022,April,Friday,55
Lia Cavilla,4/6/2015,4/6/2022,April,Wednesday,12
Tammie Bevans,12/17/2012,12/17/2022,December,Friday,45
Towney Genny,10/26/2011,10/26/2022,October,Wednesday,13
Darsie Midson,7/10/2015,7/10/2022,July,Friday,49
Bobbee Timeby,10/12/2014,10/12/2022,October,Wednesday,13
Giacinta Pardal,5/28/2012,5/28/2022,May,Friday,31
Justinian McCrossan,1/25/2015,1/25/2022,January,Tuesday,12
Maxine Peizer,10/6/2013,10/6/2022,October,Thursday,14
Claudell Oloshin,12/25/2011,12/25/2022,December,Friday,45
Risa Marc,7/31/2013,7/31/2022,July,Friday,49
Leontine Kowalski,12/31/2011,12/31/2022,December,Friday,45
Yasmin Lindsell,9/28/2012,9/28/2022,September,Wednesday,7
Carlyle Bestwick,8/8/2013,8/8/2022,August,Monday,12
Arnold Emps,6/22/2013,6/22/2022,June,Wednesday,15
Cassandry Trevaskus,1/5/2015,1/5/2022,January,Wednesday,14
Julianna Whitlock,2/25/2014,2/25/2022,February,Friday,31
Meryl Grzelewski,6/4/2012,6/4/2022,June,Friday,30
Louella Ketch,8/17/2015,8/17/2022,August,Wednesday,10
Meredith Dreng,9/12/2011,9/12/2022,September,Monday,7
Brana Bridgstock,1/4/2015,1/4/2022,January,Tuesday,12
Efrem Roswarne,10/21/2014,10/21/2022,October,Friday,32
Catrina Hannabuss,3/12/2012,3/12/2022,March,Friday,31
Ainslie Swansbury,10/3/2012,10/3/2022,October,Monday,14
Jerry Archard,3/9/2013,3/9/2022,March,Wednesday,6
Cly Chevis,12/19/2012,12/19/2022,December,Monday,20
Tarrance Alves,12/24/2013,12/24/2022,December,Friday,45
Geneva Bakesef,12/5/2014,12/5/2022,December,Monday,20
Rosaline Youel,3/19/2013,3/19/2022,March,Friday,31
Livvyy Cessford,6/23/2014,6/23/2022,June,Thursday,12
Deirdre Maharey,7/17/2015,7/17/2022,July,Friday,49
Dyan Heckney,5/2/2014,5/2/2022,May,Monday,7
Alika Bunclark,11/9/2014,11/9/2022,November,Wednesday,17
Daryle Flewitt,9/11/2012,9/11/2022,September,Friday,36
Clovis Okeshott,2/1/2015,2/1/2022,February,Tuesday,13
Gratia Shory,4/2/2015,4/2/2022,April,Friday,55
Alane Beidebeke,11/22/2012,11/22/2022,November,Tuesday,12
Bridie Hembery,5/26/2013,5/26/2022,May,Thursday,12
Hannis Loughran,2/2/2013,2/2/2022,February,Wednesday,8
Gwen Glowinski,3/4/2012,3/4/2022,March,Friday,31
Henrie Wrightson,12/1/2014,12/1/2022,December,Thursday,20
Ludwig Raine,2/18/2014,2/18/2022,February,Friday,31
Hamel Pie,12/24/2013,12/24/2022,December,Friday,45
Tamma Sergison,6/19/2012,6/19/2022,June,Friday,30
Ninetta Worling,2/15/2015,2/15/2022,February,Tuesday,13
Stanford Tinton,4/9/2013,4/9/2022,April,Friday,55
Ertha MacCook,12/14/2013,12/14/2022,December,Wednesday,9
Lawton Randles,12/12/2011,12/12/2022,December,Monday,20
Engracia Pashbee,9/23/2013,9/23/2022,September,Friday,36
